bulbasaur,swords-dance,0,machine
bulbasaur,cut,0,machine
bulbasaur,vine-whip,13,level-up
bulbasaur,tackle,1,level-up
bulbasaur,body-slam,0,machine
bulbasaur,take-down,0,machine
bulbasaur,double-edge,0,machine
bulbasaur,growl,1,level-up
bulbasaur,mega-drain,0,machine
bulbasaur,leech-seed,7,level-up
bulbasaur,growth,34,level-up
bulbasaur,razor-leaf,27,level-up
bulbasaur,solar-beam,48,level-up
bulbasaur,poison-powder,20,level-up
bulbasaur,sleep-powder,41,level-up
bulbasaur,toxic,0,machine
bulbasaur,rage,0,machine
bulbasaur,mimic,0,machine
bulbasaur,double-team,0,machine
bulbasaur,reflect,0,machine
bulbasaur,bide,0,machine
bulbasaur,rest,0,machine
bulbasaur,substitute,0,machine
ivysaur,swords-dance,0,machine
ivysaur,cut,0,machine
ivysaur,vine-whip,13,level-up
ivysaur,tackle,1,level-up
ivysaur,body-slam,0,machine
ivysaur,take-down,0,machine
ivysaur,double-edge,0,machine
ivysaur,growl,1,level-up
ivysaur,mega-drain,0,machine
ivysaur,leech-seed,1,level-up
ivysaur,growth,38,level-up
ivysaur,razor-leaf,30,level-up
ivysaur,solar-beam,54,level-up
ivysaur,poison-powder,22,level-up
ivysaur,sleep-powder,46,level-up
ivysaur,toxic,0,machine
ivysaur,rage,0,machine
ivysaur,mimic,0,machine
ivysaur,double-team,0,machine
ivysaur,reflect,0,machine
ivysaur,bide,0,machine
ivysaur,rest,0,machine
ivysaur,substitute,0,machine
venusaur,swords-dance,0,machine
venusaur,cut,0,machine
venusaur,vine-whip,1,level-up
venusaur,tackle,1,level-up
venusaur,body-slam,0,machine
venusaur,take-down,0,machine
venusaur,double-edge,0,machine
venusaur,growl,1,level-up
venusaur,hyper-beam,0,machine
venusaur,mega-drain,0,machine
venusaur,leech-seed,1,level-up
venusaur,growth,43,level-up
venusaur,razor-leaf,30,level-up
venusaur,solar-beam,65,level-up
venusaur,poison-powder,22,level-up
venusaur,sleep-powder,55,level-up
venusaur,toxic,0,machine
venusaur,rage,0,machine
venusaur,mimic,0,machine
venusaur,double-team,0,machine
venusaur,reflect,0,machine
venusaur,bide,0,machine
venusaur,rest,0,machine
venusaur,substitute,0,machine
charmander,mega-punch,0,machine
charmander,scratch,1,level-up
charmander,swords-dance,0,machine
charmander,cut,0,machine
charmander,mega-kick,0,machine
charmander,body-slam,0,machine
charmander,take-down,0,machine
charmander,double-edge,0,machine
charmander,leer,15,level-up
charmander,growl,1,level-up
charmander,ember,9,level-up
charmander,flamethrower,38,level-up
charmander,submission,0,machine
charmander,counter,0,machine
charmander,seismic-toss,0,machine
charmander,strength,0,machine
charmander,dragon-rage,0,machine
charmander,fire-spin,46,level-up
charmander,dig,0,machine
charmander,toxic,0,machine
charmander,rage,22,level-up
charmander,mimic,0,machine
charmander,double-team,0,machine
charmander,reflect,0,machine
charmander,bide,0,machine
charmander,fire-blast,0,machine
charmander,swift,0,machine
charmander,skull-bash,0,machine
charmander,rest,0,machine
charmander,slash,30,level-up
charmander,substitute,0,machine
charmeleon,mega-punch,0,machine
charmeleon,scratch,1,level-up
charmeleon,swords-dance,0,machine
charmeleon,cut,0,machine
charmeleon,mega-kick,0,machine
charmeleon,body-slam,0,machine
charmeleon,take-down,0,machine
charmeleon,double-edge,0,machine
charmeleon,leer,15,level-up
charmeleon,growl,1,level-up
charmeleon,ember,1,level-up
charmeleon,flamethrower,42,level-up
charmeleon,submission,0,machine
charmeleon,counter,0,machine
charmeleon,seismic-toss,0,machine
charmeleon,strength,0,machine
charmeleon,dragon-rage,0,machine
charmeleon,fire-spin,56,level-up
charmeleon,dig,0,machine
charmeleon,toxic,0,machine
charmeleon,rage,24,level-up
charmeleon,mimic,0,machine
charmeleon,double-team,0,machine
charmeleon,reflect,0,machine
charmeleon,bide,0,machine
charmeleon,fire-blast,0,machine
charmeleon,swift,0,machine
charmeleon,skull-bash,0,machine
charmeleon,rest,0,machine
charmeleon,slash,33,level-up
charmeleon,substitute,0,machine
charizard,mega-punch,0,machine
charizard,scratch,1,level-up
charizard,swords-dance,0,machine
charizard,cut,0,machine
charizard,mega-kick,0,machine
